P_NAME,P_STATUS,P_MASS,P_RADIUS,P_YEAR,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ANGULAR_DISTANCE,P_DETECTION,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_AGE,S_TEMPERATURE,S_LOG_G,S_ALT_NAMES,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
11 Com b,3.0,6165.8633,,2007,326.03,1.29,13.8,Radial Velocity,11 Com,185.17928,17.792868,4.74,93.37,-0.35,2.7,19.0,,4742.0,2.31,"HD 107383, HIP 60202",1.3244178,0.99201,1.58799,1.2987592,101.01141,799.44963,Jovian,K,12.345286,12 20 43.0286,+17 47 34.3248,34.529063,0.47646024,0.64240028,0,0,Hot,0,0.083813263,Coma Berenices,Com,Berenice's Hair
11 UMi b,3.0,4684.7848,,2009,516.21997,1.53,12.2,Radial Velocity,11 UMi,229.27454,71.823898,5016,125.72,-0.02,2.78,29.79,,4213.0,1.93,"HD 136726, HIP 74793",1.534896,1.4076,1.6524,1.5312267,107.35118,819.07569,Jovian,K,15.28497,15 17 05.8915,+71 49 26.0328,42.732816,0.19389083,0.64868332,0,0,Hot,0,0.082414476,Ursa Minor,UMi,Little Bear
14 And b,3.0,1525.5744,,2008,185.84,0.83,11.0,Radial Velocity,14 And,352.82257,39.236198,5227,75.59,-0.24,2.2,11.0,,4813.0,2.63,"HD 221345, HIP 116076",0.83,0.83,0.83,0.83000002,84.446427,772.30746,Jovian,G,23.521506,23 31 17.4215,+39 14 10.3128,20.593611,0.50275224,0.60001028,0,0,Hot,0,0.081917127,Andromeda,And,Andromeda
14 Her b,3.0,1481.0785,,2002,1773.4,2.93,163.0,Radial Velocity,14 Her,242.6013,43.817646,6.61,17.94,0.41,0.9,0.93,,5338.0,4.45,"HD 145675, HIP 79248",3.1305585,1.8459,4.0141,2.9825498,0.078886561,131.38424,Jovian,K,16.173421,16 10 24.3158,+43 49 03.5256,2.1416484,0.91975583,0.44541547,0,0,Cold,0,0.14524062,Hercules,Her,Hercules
16 Cyg B b,3.0,565.73385,,1996,798.5,1.66,78.5,Radial Velocity,16 Cyg B,295.46655,50.517525,6.25,21.15,0.06,1.08,1.13,,5750.0,4.36,"HD 186427, HIP 96901",2.043792,0.5312,2.7888,1.7748696,0.61897215,202.22783,Jovian,G,19.697771,19 41 51.9764,+50 31 03.0900,3.019411,1.9836585,0.47332457,1,1,Warm,0,0.36862709,Cygnus,Cyg,Swan
18 Del b,3.0,3273.6284,,2008,993.3,2.6,34.0,Radial Velocity,18 Del,314.60806,10.839286,5506,76.38,-52,2.3,8.5,,4979.0,2.82,"HD 199665, HIP 103527",2.60832,2392,2808,2.6020847,5.9039479,396.65045,Jovian,G,20.973872,20 58 25.9391,+10 50 21.4296,17.029868,0.67864811,0.60896698,0,0,Hot,0,0.21617437,Delphinus,Del,Dolphin
1RXS J160929.1-210524 b,3.0,2542.6240,,2008,,330.0,2280.0,Imaging,1RXS J160929.1-210524,242.37627,-21.083036,,145.0,,0.85,,5,4060.0,,",",330.0,330.0,330.0,330.00001,,,Jovian,K,16.158419,16 09 30.3074,-21 04 58.9296,,0.10042903,0.14012839,0,0,,0,,Scorpius,Sco,Scorpion
24 Boo b,3.0,289.22348,,2018,30.3506,0.19,1.97,Radial Velocity,24 Boo,217.15755,49.844852,5.58,96.25,-0.77,0.99,10.64,6.92,4893.0,2.42,"HD 127243, HIP 70791",0.19016758,0.18202,0.19798,0.19004195,1611.9403,1613.7579,Jovian,G,14.477171,14 28 37.8140,+49 50 41.4672,20.587336,0.4420258,0.49217655,0,0,Hot,0,0.065684936,Bootes,Boo,Herdsman
24 Sex b,3.0,632.47773,,2010,452.8,1333,18.5,Radial Velocity,24 Sex,155.86821,-0.902244,6441,72.21,-0.03,1.54,4.9,2.7,5098.0,3.5,"HD 90043, HIP 50887",1.3383987,1.21303,1.45297,1.3343533,8.2108078,430.60546,Jovian,K,10.391215,10 23 28.3724,+00 54 08.0784,10.292096,0.72838944,0.48748251,0,0,Hot,0,0.17730446,Sextans,Sex,Sextant
24 Sex c,3.0,273.33208,,2010,883.0,2.08,28.8,Radial Velocity,24 Sex,155.86821,-0.902244,6441,72.21,-0.03,1.54,4.9,2.7,5098.0,3.5,"HD 90043, HIP 50887",2.167464,1.4768,2.6832,2.1024946,3.5093722,343.04216,Jovian,K,10.391215,10 23 28.3724,+00 54 08.0784,10.292096,0.72838944,0.48748251,0,0,Hot,0,0.2724776,Sextans,Sex,Sextant
2MASS J01225093-2439505 b,3.0,7786.7861,,2013,,52.0,1440.0,Imaging,2MASS J01225093-2439505,20.712243,-24.664049,14.24,36.0,,0.4,,0.12,3530.0,,",",52.0,52.0,52.0,52.000001,,,Jovian,M,1.3808163,01 22 50.9386,-24 39 50.5764,,0.031426578,0.18511504,0,0,,0,,Cetus,Cet,Whale
2MASS J02192210-3925225 b,3.0,4417.8092,16.1424,2015,,156.0,3960.0,Imaging,2MASS J02192210-3925225,34.842106,-39.422928,,39.4,,0.11,0.28,35,3064.0,4.59,",",156.0,156.0,156.0,156.0,2.5439616e-07,5.7216666,Jovian,M,2.3228072,02 19 22.1059,-39 25 22.5408,0.2124436,0.0091773442,0.098031817,0,0,Cold,0,0.056530021,Fornax,For,Furnace
2MASS J04414489+2301513 b,3.0,2383.7100,,2010,,15.0,107.0,Imaging,2MASS J04414489+2301513,70.437073,23.030941,,140.0,,0.02,,1,,,",",15.0,15.0,15.0,15.0,,,Jovian,M,4.6958051,04 41 44.8984,+23 01 51.3876,,,0.030706817,0,0,,0,,Taurus,Tau,Bull
2MASS J12073346-3932539 b,3.0,1271.3120,,2004,,46.0,714.0,Imaging,2MASS J12073346-3932539,181.88945,-39.548332,20.15,64.42,,0.02,,8,,,",",46.0,46.0,46.0,46.000001,,,Jovian,M,12.125964,12 07 33.4696,-39 32 53.9952,,,0.043425998,0,0,,0,,Centaurus,Cen,Centaur
2MASS J19383260+4603591 b,3.0,603.87321,,2015,416.0,0.92,2.3,Eclipse Timing Variations,2MASS J19383260+4603591,294.63587,46.066418,12264,400.77,,0.48,,,,,",",0.92,0.92,0.92,0.92000002,,,Jovian,,19.642392,19 38 32.6113,+46 03 59.1048,,,0.36121425,0,0,,0,,Cygnus,Cyg,Swan
2MASS J21402931+1625183 A b,3.0,6658.4967,10.3132,2009,7336.5,,,Imaging,2MASS J21402931+1625183 A,325.12216,16.421759,,25.0,,0.08,0.12,,2300.0,,",",3.2908045,2.3555768,4.010847,3.2107268,3.690033e-05,19.598998,Jovian,M,21.674812,21 40 29.3222,+16 25 18.3324,0.051303266,0.002221171,0.19878386,0,0,Cold,0,0.084157251,Pegasus,Peg,Winged Horse
2MASS J22362452+4751425 b,3.0,3972.8500,,2016,,230.0,3110.0,Imaging,2MASS J22362452+4751425,339.1022,47.86182,12.51,74.0,,0.6,,0.12,4045.0,,",",230.0,230.0,230.0,230.00001,,,Jovian,K,22.606815,22 36 24.5330,+47 51 42.5520,,0.087145494,0.21190382,0,0,,0,,Lacerta,Lac,Lizard
30 Ari B b,3.0,4392.3830,,2009,335.10001,0.99,22.1,Radial Velocity,30 Ari B,39.240585,24.648064,6962,44.71,0.19,1.93,1.41,,6331.0,4.43,"HD 16232, HIP 12184",1.0316295,0.7029,1.2771,1.0007066,3.050856,331.24213,Jovian,F,2.6160391,02 36 57.7409,+24 38 53.0304,4.5674293,6.531395,0.57438563,0,0,Hot,0,0.30089651,Aries,Ari,Ram
4 UMa b,3.0,2256.5788,,2006,269.3,0.87,11.8,Radial Velocity,4 UMa,130.05341,64.327934,4.61,73.58,-0.25,1.23,18.11,4604,4415.0,1.8,"HD 73108, HIP 42527",0.95118144,0.49416,1.24584,0.8916605,163.55514,877.01545,Jovian,K,8.6702275,08 40 12.8191,+64 19 40.5624,28.529093,0.20903862,0.49436657,0,0,Hot,0,0.076992961,Ursa Major,UMa,Big Bear
42 Dra b,3.0,1233.1727,,2008,479.1,1.19,13.1,Radial Velocity,42 Dra,276.4964,65.563484,4.82,90.86,-0.46,0.98,22.03,9.49,4200.0,1.71,"HD 170693, HIP 90344",1.275918,0.7378,1.6422,1.2125726,103.29647,789.07763,Jovian,K,18.433094,18 25 59.1392,+65 33 48.5424,31.406618,0.13394243,0.51702463,0,0,Hot,0,0.07908401,Draco,Dra,Dragon
47 UMa b,3.0,804.10485,,1996,1078.0,2.1,152.0,Radial Velocity,47 UMa,164.86656,40.430256,5.05,13.8,0.0,1.03,1.23,7.3,5892.0,4.27,"HD 95128, HIP 53721",2.1010752,2.0328,2.1672,2.1002691,0.37062414,198.7444,Jovian,G,10.991105,10 59 27.9769,+40 25 48.9216,3.4509501,2.4920312,0.50318118,1,1,Warm,0,0.31106267,Ursa Major,UMa,Big Bear
47 UMa c,3.0,171.62712,,2001,2391.0,3.6,261.0,Radial Velocity,47 UMa,164.86656,40.430256,5.05,13.8,0.0,1.03,1.23,7.3,5892.0,4.27,"HD 95128, HIP 53721",3.6172872,3.2472,3.9528,3.6043355,0.12666026,151.71194,Jovian,G,10.991105,10 59 27.9769,+40 25 48.9216,3.4509501,2.4920312,0.50318118,0,0,Cold,0,0.17714066,Ursa Major,UMa,Big Bear
47 UMa d,3.0,521.23792,,2009,14002.0,11.6,840.0,Radial Velocity,47 UMa,164.86656,40.430256,5.05,13.8,0.0,1.03,1.23,7.3,5892.0,4.27,"HD 95128, HIP 53721",11.74848,9744,13456,11.637436,0.01229887,84.431345,Jovian,G,10.991105,10 59 27.9769,+40 25 48.9216,3.4509501,2.4920312,0.50318118,0,0,Cold,0,0.079493064,Ursa Major,UMa,Big Bear
51 Eri b,3.0,,,2015,11688.0,12.0,408.0,Imaging,51 Eri,69.400551,-2.473548,5.23,29.4,-27,1.75,,0.02,,,"HD 29391, HIP 21547",13215,6.6,17.4,12.326111,,,,F,4.6267036,04 37 36.1331,-02 28 24.7728,,,0.2245997,0,0,,0,,Eridanus,Eri,River
51 Peg b,3.0,150.01482,,1995,4.230785,0.0527,3.41,Radial Velocity,51 Peg,344.36658,20.768833,5.5,15.47,0.2,1.12,1.2,4.0,5793.0,4.33,"HD 217014, HIP 113357",0.052704453,0.0520149,0.0533851,0.05270112,523.21565,1218432,Jovian,G,22.957773,22 57 27.9828,+20 46 07.7988,3.2545908,2.1617961,0.46806645,0,0,Hot,0,0.065394653,Pegasus,Peg,Winged Horse
55 Cnc b,3.0,263.98794,,1996,14.65152,0.115227,9.15,Radial Velocity,55 Cnc,133.14922,28.330818,5.96,12.59,0.31,0.91,0.94,10.2,5196.0,4.45,"HD 75732, HIP 43587",0.11522767,0.11483523,0.11561877,0.11522717,43.462522,654.14301,Jovian,G,8.8766149,08 52 35.8135,+28 19 50.9448,2.0510405,0.72330826,0.51051127,0,0,Hot,0,0.088599759,Cancer,Cnc,Crab
55 Cnc c,3.0,54.475720,,2004,44.4175,0.241376,19.2,Radial Velocity,55 Cnc,133.14922,28.330818,5.96,12.59,0.31,0.91,0.94,10.2,5196.0,4.45,"HD 75732, HIP 43587",0.24142428,0.23654848,0.24620352,0.24138808,9.9064859,451.95192,Jovian,G,8.8766149,08 52 35.8135,+28 19 50.9448,2.0510405,0.72330826,0.51051127,0,0,Hot,0,0.19669217,Cancer,Cnc,Crab
55 Cnc d,3.0,1232.5370,,2002,4825.0,5503,437.0,Radial Velocity,55 Cnc,133.14922,28.330818,5.96,12.59,0.31,0.91,0.94,10.2,5196.0,4.45,"HD 75732, HIP 43587",5.5039933,5.398443,5.607557,5.5032484,0.019059008,94.654352,Jovian,G,8.8766149,08 52 35.8135,+28 19 50.9448,2.0510405,0.72330826,0.51051127,0,0,Cold,0,0.08875056,Cancer,Cnc,Crab
55 Cnc e,3.0,8.0791878,1.9057,2004,0.736539,0.01544,1.23,Radial Velocity,55 Cnc,133.14922,28.330818,5.96,12.59,0.31,0.91,0.94,10.2,5196.0,4.45,"HD 75732, HIP 43587",0.01544,0.01544,0.01544,0.01544,2420.6184,1787008,Superterran,G,8.8766149,08 52 35.8135,+28 19 50.9448,2.0510405,0.72330826,0.51051127,0,0,Hot,0,0.2598972,Cancer,Cnc,Crab
55 Cnc f,3.0,44.813748,,2007,262.0,788,62.6,Radial Velocity,55 Cnc,133.14922,28.330818,5.96,12.59,0.31,0.91,0.94,10.2,5196.0,4.45,"HD 75732, HIP 43587",0.82465185,0.54766,1.02834,0.79745557,0.97582251,248.65483,Neptunian,G,8.8766149,08 52 35.8135,+28 19 50.9448,2.0510405,0.72330826,0.51051127,1,1,Warm,0,0.45748768,Cancer,Cnc,Crab
6 Lyn b,3.0,638.83429,,2008,934.3,2.11,38.5,Radial Velocity,6 Lyn,97.696281,58.162632,5.86,54.74,,1.44,5.2,,4938.0,3.19,"HD 45410, HIP 31039",2.1156221,1.95597,2.26403,2.1114081,3.244106,341.57316,Jovian,K,6.5130857,06 30 47.1087,+58 09 45.4752,10.247398,0.54108483,0.5209611,0,0,Hot,0,0.28576359,Lynx,Lyn,Lynx
61 Vir b,3.0,5.0852480,,2009,4215,0.050201,5.9,Radial Velocity,61 Vir,199.60132,-18.311195,4.74,8.51,-0.01,0.94,0.96,8.96,5577.0,4.34,"HD 115617, HIP 64924",0.050562447,0.04417688,0.05622512,0.050291794,319.27036,1074.0012,Superterran,G,13.306755,13 18 24.3188,-18 18 40.3020,2.4131294,1.4069863,0.50503188,0,0,Hot,0,0.25355145,Virgo,Vir,Virgin
61 Vir c,3.0,18.116196,,2009,38021,0.2175,25.6,Radial Velocity,61 Vir,199.60132,-18.311195,4.74,8.51,-0.01,0.94,0.96,8.96,5577.0,4.34,"HD 115617, HIP 64924",0.2196315,0.18705,0.24795,0.21803635,17.0535,515.80897,Neptunian,G,13.306755,13 18 24.3188,-18 18 40.3020,2.4131294,1.4069863,0.50503188,0,0,Hot,0,0.22814035,Virgo,Vir,Virgin
61 Vir d,3.0,22.883616,,2009,123.01,476,56.0,Radial Velocity,61 Vir,199.60132,-18.311195,4.74,8.51,-0.01,0.94,0.96,8.96,5577.0,4.34,"HD 115617, HIP 64924",0.505155,0.3094,0.6426,0.4835999,3.7635373,346.34605,Neptunian,G,13.306755,13 18 24.3188,-18 18 40.3020,2.4131294,1.4069863,0.50503188,0,0,Hot,0,0.37195088,Virgo,Vir,Virgin
7 CMa b,3.0,781.85689,,2011,796.0,1.93,97.4,Radial Velocity,7 CMa,99.17099,-19.255878,3.92,19.82,0.21,1.52,2.3,,4792.0,3.25,"HD 47205, HIP 31592",1.976706,1.5054,2.3546,1.9418663,0.68781196,229.87309,Jovian,K,6.6113997,06 36 41.0388,-19 15 21.1608,4.2684436,0.42870561,0.53043519,1,1,Warm,0,0.37834721,Canis Major,CMa,Big Dog
70 Vir b,3.0,2357.0125,,1996,116688,481,26.9,Radial Velocity,70 Vir,202.10754,13.778788,4.97,17.91,,1.09,1.89,,5495.0,3.95,"HD 117176, HIP 65721",0.51924947,0.2891772,0.6728228,0.49110247,13.753258,475.14878,Jovian,G,13.473837,13 28 25.8131,+13 46 43.6368,4.6121699,1.2839292,0.47478096,0,0,Hot,0,0.14126541,Virgo,Vir,Virgin
75 Cet b,3.0,953.48401,,2012,691.9,2.1,25.3,Radial Velocity,75 Cet,38.039253,-1.034896,5.35,83.15,0.0,2.49,10.5,,4846.0,2.63,"HD 15779, HIP 11791",2.1143734,1.8543,2.3457,2.1036099,12.438138,477.2133,Jovian,G,2.5359503,02 32 09.4212,-01 02 05.6256,19.928023,0.55449989,0.62529398,0,0,Hot,0,0.14524422,Cetus,Cet,Whale
8 UMi b,3.0,416.35468,,2015,93.4,0.49,3.0,Radial Velocity,8 UMi,224.20148,74.900925,6.83,163.32,-0.03,1.44,10.3,,4847.0,2.57,"HD 133086, HIP 73136",0.490882,0.4606,0.5194,0.49022082,218.9002,979.29341,Jovian,K,14.946766,14 56 48.3573,+74 54 03.3300,19.55651,0.46277365,0.5209611,0,0,Hot,0,0.070820113,Ursa Minor,UMi,Little Bear
81 Cet b,3.0,1684.4884,,2008,952.7,2.5,24.6,Radial Velocity,81 Cet,39.424168,-3.396175,5.65,101.53,-0.06,2.4,11.0,,4785.0,2.35,"HD 16400, HIP 12247",2.553045,1985,3015,2.5134499,9.2926133,441.22513,Jovian,G,2.628278,02 37 41.8008,-03 23 46.2300,20.354698,0.49324069,0.61766768,0,0,Hot,0,0.16929368,Cetus,Cet,Whale
91 Aqr b,3.0,1017.0496,,2013,181.4,0.7,15.9,Radial Velocity,91 Aqr,348.9729,-9.087737,4.25,44.08,-0.03,1.4,11.0,3.56,4665.0,2.52,"HD 219449, HIP 114855",0.70025515,0.6811,0.7189,0.7000639,104.81969,815.07247,Jovian,K,23.264861,23 15 53.5004,-09 05 15.8532,19.346574,0.33534899,0.49451088,0,0,Hot,0,0.078414548,Aquarius,Aqr,Water Carrier
AB Pic b,3.0,4290.6780,,2005,,260.0,5190.0,Imaging,AB Pic,94.803802,-58.05431,9128,50.12,,,,0.03,,,"HD 44627, HIP 30034",260.0,260.0,260.0,260.00001,,,Jovian,K,6.3202538,06 19 12.9137,-58 03 15.5160,,,,0,0,,0,,Pictor,Pic,Painter's Easel
BD+03 2562 b,3.0,2034.0992,,2017,481.9,1.3,497,Radial Velocity,BD+03 2562,177.5648,2.760142,9.58,2618.0,-0.71,1.14,32.35,5.2,4095.0,1.89,",",1326,1.04,1.56,1.3065871,159.23206,898.12947,Jovian,K,11.837654,11 50 15.5552,+02 45 36.5112,43.841983,0.11761662,0.49188134,0,0,Hot,0,0.076881824,Virgo,Vir,Virgin
BD+14 4559 b,3.0,330.54112,,2009,268.94,0.78,15.8,Radial Velocity,BD+14 4559,318.39996,14.689387,9.63,49.42,0.17,0.49,0.86,,4864.0,4.26,", HIP 104780",0.812799,0.5538,1.0062,0.78843547,0.63701048,223.9117,Jovian,K,21.226665,21 13 35.9951,+14 41 21.7932,1.6443478,0.33265737,0.36370546,1,1,Warm,0,0.3690268,Pegasus,Peg,Winged Horse
BD+15 2375 b,3.0,337.21551,,2016,153.22,576,744,Radial Velocity,BD+15 2375,176.48217,14.616381,10.31,774.0,-0.22,1.08,8.95,7.41,4649.0,2.61,",",0.57600029,0.575424,0.576576,0.57600015,101.0481,807.74977,Jovian,G,11.765479,11 45 55.7240,+14 36 58.9716,15.633284,0.29922028,0.5124708,0,0,Hot,0,0.075857,Leo,Leo,Lion
BD+15 2940 b,3.0,352.78908,,2013,137.48,539,1.25,Radial Velocity,BD+15 2940,240.09557,15.54693,9046,431.61,0.28,1.1,14.7,7.1,4796.0,2.8,", HIP 78407",0.5572182,0.39886,0.67914,0.54365898,365.14163,1099.2378,Jovian,K,16.006372,16 00 22.9388,+15 32 48.9480,27.326485,0.38754905,0.5119554,0,0,Hot,0,0.068451851,Serpens,Ser,Serpent
BD+20 2457 b,3.0,17668059,,2009,379.63,1.05,628,Radial Velocity,BD+20 2457,154.18691,19.891409,9.75,1670.85,-0.79,10.83,71.02,,4259.0,1.77,",",1.0618125,0.8925,1.2075,1.0529753,1364.0917,1541.7216,Jovian,K,10.279128,10 16 44.8603,+19 53 29.0724,104.11278,0.33017176,1.0206902,0,0,Hot,0,0.077113291,Leo,Leo,Lion
BD+20 2457 c,3.0,3963.3152,,2009,621.99,2.01,1.2,Radial Velocity,BD+20 2457,154.18691,19.891409,9.75,1670.85,-0.79,10.83,71.02,,4259.0,1.77,",",2.042562,1.6482,2.3718,2.0182285,374.14548,1113.6017,Jovian,K,10.279128,10 16 44.8603,+19 53 29.0724,104.11278,0.33017176,1.0206902,0,0,Hot,0,0.074902725,Leo,Leo,Lion
BD+20 274 b,3.0,1334.8776,,2012,578.2,1.3,939,Radial Velocity,BD+20 274,25.920324,21.005314,9.36,1383.85,-0.46,0.8,17.3,,4296.0,1.99,",",1.328665,1027,1573,1.3072723,55.277069,688.84477,Jovian,K,1.7280217,01 43 40.8781,+21 00 19.1304,25.803745,0.14762734,0.42826685,0,0,Hot,0,0.087983596,Pisces,Psc,Fishes
BD+20 594 b,3.0,22.247960,2.5783,2016,41.6855,,,Transit,BD+20 594,53.650967,20.599232,11038,180.39,-0.15,1.67,1.08,,5766.0,4.5,",",0.27908623,0.27908623,0.27908623,0.27908624,14.830572,499.95899,Neptunian,G,3.5767313,03 34 36.2328,+20 35 57.2352,2.9018912,2.357775,0.54733928,0,0,Hot,0,0.30796205,Taurus,Tau,Bull
BD+48 738 b,3.0,289.22348,,2011,392.6,1.0,1.12,Radial Velocity,BD+48 738,40.710224,49.58696,9.14,892.17,-0.2,0.74,11.0,,4414.0,2.24,",",1.02,0.8,1.2,1.005067,42.001782,643.64774,Jovian,K,2.7140151,02 42 50.4543,+49 35 13.0560,17.3207,0.17616621,0.41728076,0,0,Hot,0,0.089639787,Perseus,Per,Perseus
BD+48 740 b,3.0,540.30760,,2018,733.0,1.7,2.5,Radial Velocity,BD+48 740,40.742569,48.930061,8699,678.94,-0.13,1.09,10.33,,4534.0,2.48,", HIP 12684",2.19096,408,2992,1.855702,21.51075,471.51405,Jovian,K,2.7161714,02 42 58.2171,+48 55 48.2196,17.16214,0.24633249,0.47478096,0,0,Hot,0,0.11328601,Perseus,Per,Perseus
BD+49 828 b,3.0,508.52480,,2015,2590.0,4.2,9.38,Radial Velocity,BD+49 828,45.640529,49.730011,9.38,447.59,-0.19,1.52,7.6,2.34,4943.0,2.85,",",4.45725,2.73,5.67,4.267058,1.869632,290.77041,Jovian,K,3.0427021,03 02 33.7275,+49 43 48.0396,15.007312,0.55567772,0.47392397,0,0,Hot,0,0.35395377,Perseus,Per,Perseus
BD-06 1339 b,3.0,8.5813561,,2013,3.8728,0.0428,2.11,Radial Velocity,BD-06 1339,88.251183,-5.994844,9.7,20.28,-0.14,0.7,,4.4,4324.0,4.74,", HIP 27803",0.0428,0.0428,0.0428,0.042800001,59.571932,707.79148,Superterran,K,5.8834125,05 53 00.2850,-05 59 41.4384,0.8919251,0.1481588,0.40659899,0,0,Hot,0,0.23577592,Orion,Ori,Hunter
BD-06 1339 c,3.0,54.030760,,2013,125.94,435,21.4,Radial Velocity,BD-06 1339,88.251183,-5.994844,9.7,20.28,-0.14,0.7,,4.4,4324.0,4.74,", HIP 27803",0.45590175,0.30015,0.56985,0.44039809,0.6065834,220.65029,Jovian,K,5.8834125,05 53 00.2850,-05 59 41.4384,0.8919251,0.1481588,0.40659899,1,1,Warm,0,0.41593589,Orion,Ori,Hunter
BD-08 2823 b,3.0,12.713120,,2009,5.6,0.06,1.45,Radial Velocity,BD-08 2823,150.19884,-9.51668,9.88,41.38,-0.06,0.5,0.71,,4816.0,4.43,", HIP 49067",0.060675,51,69,0.060170015,68.263786,729.1933,Neptunian,K,10.013256,10 00 47.7228,-09 31 00.0480,1.3308815,0.30839557,0.366163,0,0,Hot,0,0.20503107,Sextans,Sex,Sextant
BD-08 2823 c,3.0,104.88324,,2009,237.6,0.68,16.4,Radial Velocity,BD-08 2823,150.19884,-9.51668,9.88,41.38,-0.06,0.5,0.71,,4816.0,4.43,", HIP 49067",0.692274,0.5508,0.8092,0.68310553,0.53520165,216.41573,Jovian,K,10.013256,10 00 47.7228,-09 31 00.0480,1.3308815,0.30839557,0.366163,1,1,Warm,0,0.36057653,Sextans,Sex,Sextant
BD-10 3166 b,3.0,187.51852,,2000,3.48777,0.04,473,Radial Velocity,BD-10 3166,164.62,-10.770376,10.08,84.61,0.38,1.47,0.91,,5393.0,4.69,",",0.040008,0.0392,0.0408,0.040002001,392.33767,1133.7762,Jovian,K,10.974667,10 58 28.8028,-10 46 13.3536,2.1389978,1.1905126,0.52455404,0,0,Hot,0,0.06663348,Crater,Crt,Cup
BD-11 4672 b,3.0,168.44884,,2014,1667.0,2.28,83.5,Radial Velocity,BD-11 4672,278.37015,-11.636039,9.99,27.3,-0.48,0.57,0.52,4.4,4475.0,4.1,", HIP 90979",2.28285,2166,2394,2.2807134,0.018712911,94.183848,Jovian,K,18.558011,18 33 28.8390,-11 38 09.7404,0.84158409,0.17932886,0.37968657,0,0,Cold,0,0.083110123,Scutum,Sct,Shield
BD-13 2130 b,3.0,3108.3579,,2007,714.29999,1.66,1.75,Radial Velocity,BD-13 2130,114.28846,-13.906639,9.45,948.75,-0.08,2.12,19.17,,4545.0,2.2,",",1.696603,1.3114,2.0086,1.6692862,52.149004,678.88563,Jovian,G,7.6192309,07 37 09.2314,-13 54 23.9004,32.003537,0.31335175,0.59264745,0,0,Hot,0,0.091453244,Puppis,Pup,Stern
BD-17 63 b,3.0,905.80981,,2008,655.59998,1.34,38.9,Radial Velocity,BD-17 63,7.142942,-16.226345,9566,34.49,0.01,0.31,0.74,,4665.0,4.19,", HIP 2247",1.535372,0.6164,2.0636,1.3942884,0.15374812,149.79878,Jovian,K,0.47619616,00 28 34.3062,-16 13 34.8420,1.3014968,0.20288108,0.31222788,0,0,Cold,0,0.20149258,Cetus,Cet,Whale
CFBDSIR J145829+101343 b,3.0,3337.1940,,2011,10037.5,2.6,113.0,Imaging,CFBDSIR J145829+101343,224.62083,10.228611,,23.1,,0.02,,,580.5,4.72,",",2.6,2.6,2.6,2.6000001,1.5688472e-07,5.0703749,Jovian,,14.974723,14 58 29.0027,+10 13 42.9996,0.0027805291,7.2936597e-05,0.12522598,0,0,Cold,0,0.071553799,Bootes,Boo,Herdsman
CHXR 73 b,3.0,3994.7802,,2006,,210.0,1100.0,Imaging,CHXR 73,166.61989,-77.625877,,191.05,,0.35,,2,,,",",210.0,210.0,210.0,210.00001,,,Jovian,M,11.107993,11 06 28.7764,-77 37 33.1572,,,0.089485465,0,0,,0,,Chamaeleon,Cha,Chameleon
CI Tau b,3.0,3686.8048,,2019,8.9891,,,Radial Velocity,CI Tau,68.466728,22.841696,12939,158.0,,0.9,,3,,,",",0.084223218,0.061253249,0.10208875,0.082322546,,,Jovian,K,4.5644488,04 33 52.0156,+22 50 30.1056,,,0.13116739,0,0,,0,,Taurus,Tau,Bull
CT Cha b,3.0,5403.0760,24662,2007,,440.0,2670.0,Imaging,CT Cha,166.03788,-76.455383,,165.0,,,,2,,,",",440.0,440.0,440.0,440.00001,,,Jovian,K,11.069192,11 04 09.0926,-76 27 19.3788,,,,0,0,,0,,Chamaeleon,Cha,Chameleon
CoRoT-1 b,3.0,327.36284,16.7029,2008,1.5089557,,,Transit,CoRoT-1,102.07989,-3.102147,13.6,805.31,-0.3,0.95,1.11,,5950.0,4.25,",",0.025304732,0.025304732,0.025304732,0.025304732,2160.7225,1736.9794,Jovian,G,6.805326,06 48 19.1737,-03 06 07.7292,3.1758867,2.679932,0.4535157,0,0,Hot,0,0.055287801,Monoceros,Mon,Unicorn
CoRoT-10 b,3.0,874.02701,10.8737,2010,13.2406,0.1055,306,Transit,CoRoT-10,291.06371,0.746143,15.22,345.0,0.26,0.89,0.79,3.0,5075.0,4.65,",",0.12031747,0.049585,0.161415,0.10959973,39.299539,600.56763,Jovian,K,19.404248,19 24 15.2936,+00 44 46.1148,1.6443993,0.58321142,0.41324574,0,0,Hot,0,0.10705569,Aquila,Aql,Eagle
